timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,forecastMode,priorAvailableMW,posteriorAvailableMW,planningAvailableMW,forecastErrorMW,plannedElectricityShare,plannedHydrogenShare,plannedComputeShare,rawPlannedElectricityShare,rawPlannedHydrogenShare,rawPlannedComputeShare,plannedRatioActive,planHeldByDeadband,planShareChangeL1,eventRiskLevel,riskQuantile,bessReserveTargetSOC,bessReserveShortfallMWh,planStatus,planFallbackUsed,planFallbackMessage,reliabilityRelaxationUsed,minimumFeasibleENSMWh,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
30,NORMAL,245.498425362548,221.49,200,0,0,184,0,0,24.0084253625481,0,49560,4429.8,-45130.2,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,245.498425362548,221.49,24.0084253625481,0,0,0.89375,0,0,0,200,0,0,0,201.4684,27.6256970268215,16.4043283357266
31,NORMAL,227.567149061079,221.49,200,0,0,184,0,0,6.07714906107873,0,71640,4429.8,-67210.2,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,227.567149061079,221.49,6.07714906107873,0,0,0.89375,0,0,0,200,0,0,0,188.062,19.9184335592244,19.5867155018544
32,NORMAL,210.504552293024,210.504552293024,189.014552293024,0,0,173.893388109582,0,0,0,0,68001.6197194496,4210.09104586048,-63791.5286735891,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,210.504552293024,210.504552293024,0,0,0,0.89375,0,0,0,189.014552293024,0,0,0,176.89,10.8799189487503,22.7346333442739
33,NORMAL,166.719249642899,166.719249642899,145.229249642899,0,0,133.610909671467,0,0,0,0,53499.9274817282,3334.38499285798,-50165.5424888702,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,166.719249642899,166.719249642899,0,0,0,0.89375,0,0,0,145.229249642899,0,0,0,139.552,1.18358973690297,25.9836599059962
34,NORMAL,136.9747898688,136.9747898688,115.4847898688,0,0,106.246006679296,0,0,0,0,43648.5624045466,2739.495797376,-40909.0666071706,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,136.9747898688,136.9747898688,0,0,0,0.89375,0,0,0,115.4847898688,0,0,0,107.8,0,29.1747898688002
35,NORMAL,109.9267898688,109.9267898688,88.4367898688002,0,0,81.3618466792962,0,0,0,0,34690.2648045466,2198.535797376,-32491.7290071706,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,109.9267898688,109.9267898688,0,0,0,0.89375,0,0,0,88.4367898688002,0,0,0,80.752,0,29.1747898688002
36,NORMAL,44.884,44.884,23.754,0,0,21.85368,0,0,0,0,13267.3248,897.680000000001,-12369.6448,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,44.884,44.884,0,0,0,0.89375,0,0,0,23.754,0,0,0,44.884,0,0
37,NORMAL,28.3808,28.3808,7.25080000000001,0,0,6.67073600000001,0,0,0,0,7801.46496,567.616,-7233.84896,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,28.3808,28.3808,0,0,0,0.89375,0,0,0,7.25080000000001,0,0,0,28.3808,0,0
38,NORMAL,31.2032,31.2032,10.0732,0,0,9.26734400000001,0,0,0,0,8736.24384,624.064,-8112.17984,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,31.2032,31.2032,0,0,0,0.89375,0,0,0,10.0732,0,0,0,31.2032,0,0
39,NORMAL,88.396,88.396,67.266,0,0,61.88472,0,0,0,0,27678.4992,1767.92,-25910.5792,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,88.396,88.396,0,0,0,0.89375,0,0,0,67.266,0,0,0,88.396,0,0
